title,url
Alice Springs (Mparntwe) Education Declaration,https://www.acara.edu.au/docs/default-source/corporate-publications/alice-springs-(mparntwe)-education-declaration.pdf
National Report on Schooling in Australia 2022,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2022.pdf
National Report on Schooling in Australia 2021,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2021.pdf
National Report on Schooling in Australia 2020,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2020.pdf
National Report on Schooling in Australia 2019,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2019.pdf
National Report on Schooling in Australia 2018,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2018.pdf
National Report on Schooling in Australia 2017,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2017.pdf
National Report on Schooling in Australia 2016,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2016.pdf
National Report on Schooling in Australia 2015,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2015.pdf
National Report on Schooling in Australia 2014,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2014.pdf
National Report on Schooling in Australia 2013,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2013.pdf
National Report on Schooling in Australia 2012,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2012.pdf
National Report on Schooling in Australia 2011,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2011.pdf
National Report on Schooling in Australia 2010,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2010.pdf
National Report on Schooling in Australia 2009,https://dataandreporting.blob.core.windows.net/anrdataportal/ANR-Documents/nationalreportonschoolinginaustralia_2009.pdf
